iter	Passed	Remaining
412	3172	4509
413	3179	4500
414	3186	4492
415	3193	4483
416	3201	4476
417	3208	4467
418	3214	4457
419	3220	4447
420	3227	4438
421	3234	4429
422	3240	4420
423	3246	4410
424	3253	4401
425	3259	4392
426	3267	4384
427	3273	4375
428	3280	4365
429	3286	4356
430	3293	4347
431	3300	4339
432	3307	4330
433	3313	4321
434	3320	4312
435	3326	4303
436	3333	4294
437	3339	4285
438	3345	4275
439	3351	4266
440	3358	4256
441	3364	4247
442	3370	4237
443	3376	4227
444	3383	4219
445	3391	4212
446	3398	4204
447	3404	4195
448	3410	4185
449	3417	4177
450	3425	4169
451	3434	4163
452	3441	4155
453	3450	4149
454	3458	4142
455	3467	4136
456	3476	4130
457	3487	4127
458	3494	4118
459	3501	4110
460	3508	4101
461	3514	4093
462	3521	4083
463	3527	4075
464	3533	4065
465	3540	4057
466	3550	4052
467	3559	4046
468	3566	4038
469	3575	4031
470	3586	4028
471	3594	4020
472	3602	4013
473	3609	4005
474	3618	3998
475	3628	3993
476	3637	3988
477	3647	3983
478	3655	3975
479	3665	3970
480	3731	4026
481	3753	4033
482	3766	4032
483	3780	4030
484	3798	4033
485	3815	4034
486	3824	4028
487	3832	4020
488	3841	4014
489	3850	4007
490	3859	4000
491	3867	3993
492	3876	3986
493	3885	3979
494	3893	3971
495	3900	3963
496	3908	3955
497	3916	3947
498	3924	3940
499	3931	3931
500	3939	3924
501	3947	3916
502	3956	3908
503	3969	3906
504	3980	3902
505	3989	3894
506	3997	3886
507	4006	3880
508	4013	3871
509	4021	3864
510	4028	3854
511	4036	3847
512	4044	3839
513	4052	3831
514	4059	3823
515	4068	3816
516	4075	3807
517	4082	3798
518	4089	3790
519	4096	3781
520	4103	3772
521	4110	3763
522	4118	3755
523	4123	3746
524	4130	3736
525	4136	3727
526	4143	3718
527	4150	3709
528	4156	3700
529	4164	3692
530	4171	3684
531	4180	3677
532	4188	3669
533	4195	3661
534	4201	3652
535	4208	3643
536	4215	3634
537	4224	3627
538	4232	3620
539	4239	3611
540	4246	3602
541	4253	3594
542	4260	3585
543	4267	3576
544	4272	3566
545	4278	3557
546	4283	3547
547	4290	3538
548	4296	3529
549	4302	3520
550	4309	3511
551	4315	3502
552	4321	3493
553	4327	3483
554	4334	3475
555	4341	3466
556	4348	3458
557	4354	3449
558	4362	3441
559	4368	3432
560	4374	3423
561	4383	3416
562	4390	3407
563	4397	3399
564	4403	3390
565	4410	3381
566	4415	3372
567	4421	3363
568	4427	3353
569	4433	3344
570	4441	3336
571	4448	3328
572	4454	3319
573	4459	3309
574	4465	3300
575	4472	3292
576	4479	3283
577	4486	3275
578	4493	3267
579	4500	3259
580	4506	3249
581	4512	3240
582	4518	3232
583	4525	3223
584	4534	3216
585	4540	3207
586	4547	3199
587	4555	3191
588	4561	3182
589	4567	3173
590	4573	3164
591	4578	3155
592	4585	3147
593	4591	3138
594	4599	3130
595	4606	3122
596	4613	3114
597	4619	3105
598	4626	3097
599	4633	3088
600	4639	3080
601	4646	3071
602	4653	3063
603	4661	3056
604	4670	3049
605	4677	3041
606	4685	3033
607	4691	3024
608	4699	3016
609	4706	3008
610	4712	3000
611	4719	2991
612	4726	2983
613	4734	2976
614	4741	2968
615	4751	2961
616	4758	2954
617	4764	2945
618	4770	2936
619	4776	2927
620	4782	2918
621	4788	2910
622	4796	2902
623	4803	2894
624	4809	2885
625	4815	2876
626	4821	2868
627	4826	2859
628	4832	2850
629	4839	2842
630	4846	2834
631	4855	2827
632	4863	2819
633	4871	2812
634	4878	2803
635	4885	2795
636	4892	2787
637	4898	2779
638	4906	2771
639	4912	2763
640	4919	2755
641	4926	2747
642	4934	2739
643	4942	2731
644	4948	2723
645	4954	2715
646	4961	2706
647	4967	2698
648	4972	2689
649	4978	2680
650	4984	2672
651	4990	2663
652	4996	2654
653	5001	2646
654	5007	2637
655	5013	2628
656	5018	2620
657	5025	2612
658	5030	2603
659	5037	2595
660	5044	2587
661	5051	2579
662	5058	2571
663	5065	2563
664	5071	2554
665	5078	2546
666	5085	2538
667	5091	2530
668	5098	2522
669	5105	2514
670	5111	2506
671	5118	2498
672	5124	2489
673	5130	2481
674	5137	2473
675	5143	2465
676	5149	2456
677	5155	2448
678	5161	2440
679	5167	2431
680	5173	2423
681	5178	2414
682	5184	2406
683	5190	2397
684	5195	2389
685	5201	2380
686	5206	2372
687	5212	2363
688	5218	2355
689	5225	2347
690	5231	2339
691	5237	2331
692	5243	2322
693	5248	2314
694	5254	2305
695	5259	2297
696	5265	2289
697	5271	2280
698	5277	2272
699	5283	2264
700	5288	2255
701	5294	2247
702	5300	2239
703	5306	2231
704	5312	2223
705	5318	2214
706	5324	2206
707	5330	2198
708	5335	2190
709	5341	2181
710	5346	2173
711	5352	2164
712	5358	2157
713	5365	2149
714	5372	2141
715	5378	2133
716	5384	2125
717	5390	2117
718	5396	2108
719	5401	2100
720	5408	2092
721	5413	2084
722	5421	2076
723	5430	2070
724	5437	2062
725	5447	2055
726	5454	2048
727	5460	2040
728	5466	2031
729	5471	2023
730	5477	2015
731	5484	2007
732	5490	2000
733	5497	1992
734	5503	1984
735	5510	1976
736	5517	1969
737	5524	1961
738	5531	1953
739	5537	1945
740	5543	1937
741	5548	1929
742	5554	1921
743	5561	1913
744	5568	1906
745	5574	1897
746	5580	1889
747	5586	1882
748	5592	1874
749	5598	1866
750	5604	1858
751	5609	1849
752	5615	1842
753	5621	1834
754	5627	1826
755	5634	1818
756	5639	1810
757	5645	1802
758	5652	1794
759	5659	1787
760	5666	1779
761	5672	1771
762	5678	1763
763	5685	1756
764	5690	1748
765	5696	1740
766	5702	1732
767	5708	1724
768	5715	1716
769	5722	1709
770	5728	1701
771	5733	1693
772	5739	1685
773	5744	1677
774	5751	1669
775	5757	1662
776	5764	1654
777	5771	1646
778	5777	1639
779	5783	1631
780	5791	1623
781	5798	1616
782	5804	1608
783	5811	1601
784	5818	1593
785	5825	1586
786	5832	1578
787	5838	1570
788	5845	1563
789	5851	1555
790	5858	1548
791	5865	1540
792	5872	1532
793	5879	1525
794	5885	1517
795	5891	1509
796	5896	1501
797	5901	1493
798	5908	1486
799	5915	1478
800	5923	1471
801	5929	1463
802	5935	1456
803	5941	1448
804	5947	1440
805	5952	1432
806	5958	1425
807	5964	1417
808	5970	1409
809	5975	1401
810	5981	1393
811	5988	1386
812	5995	1379
813	6003	1371
814	6010	1364
815	6018	1357
816	6024	1349
817	6033	1342
818	6040	1334
819	6047	1327
820	6054	1320
821	6060	1312
822	6067	1304
823	6074	1297
824	6081	1290
825	6090	1283
826	6099	1275
827	6107	1268
828	6114	1261
829	6123	1254
830	6130	1246
831	6137	1239
832	6144	1231
833	6150	1224
834	6156	1216
835	6161	1208
836	6167	1201
837	6173	1193
838	6178	1185
839	6185	1178
840	6192	1170
841	6198	1163
842	6204	1155
843	6210	1147
844	6216	1140
845	6221	1132
846	6227	1124
847	6233	1117
848	6240	1109
849	6247	1102
850	6252	1094
851	6258	1087
852	6264	1079
853	6270	1071
854	6275	1064
855	6281	1056
856	6286	1048
857	6292	1041
858	6298	1033
859	6304	1026
860	6310	1018
861	6316	1011
862	6322	1003
863	6328	996
864	6333	988
865	6340	981
866	6346	973
867	6353	966
868	6360	958
869	6366	951
870	6373	943
871	6380	936
872	6386	929
873	6393	921
874	6399	914
875	6406	906
876	6414	899
877	6420	892
878	6428	884
879	6434	877
880	6441	870
881	6448	862
882	6455	855
883	6461	847
884	6467	840
885	6474	833
886	6480	825
887	6487	818
888	6494	810
889	6501	803
890	6507	796
891	6513	788
892	6519	781
893	6525	773
894	6531	766
895	6537	758
896	6543	751
897	6550	744
898	6557	736
899	6564	729
900	6569	721
901	6575	714
902	6581	707
903	6588	699
904	6595	692
905	6601	684
906	6608	677
907	6615	670
908	6622	662
909	6629	655
910	6635	648
911	6642	640
912	6649	633
913	6655	626
914	6662	618
915	6669	611
916	6675	604
917	6682	596
918	6689	589
919	6696	582
920	6704	575
921	6710	567
922	6717	560
923	6724	553
924	6731	545
925	6737	538
926	6744	531
927	6749	523
928	6755	516
929	6762	509
930	6769	501
931	6775	494
932	6782	487
933	6789	479
934	6795	472
935	6801	465
936	6806	457
937	6812	450
938	6818	442
939	6825	435
940	6832	428
941	6839	421
942	6846	413
943	6853	406
944	6861	399
945	6868	392
946	6875	384
947	6881	377
948	6886	370
949	6893	362
950	6900	355
951	6907	348
952	6914	341
953	6921	333
954	6927	326
955	6935	319
956	6943	311
957	6950	304
958	6956	297
